task_id,iot_id,task_type,task_size_MB,task_gen_time,cpu_frequency_GHz,cpu_cycles_per_bit,IPC,capability_MIPS,delay_deadline_ms,energy_available_mAh,Battery_Level_%,Vibration_G,Signal_Strength_dBm,task_priority_score,Location_Lat,Location_Lon,distance_m,channel_gain_dB,bandwidth_MHz_x,uplink_data_rate_Mbps,uplink_power_transfer_mW,energy_deadline_mJ,Priority_Score,closest_uav_id,mec_uav_lat,mec_uav_lon,mec_uav_area_name,mec_uav_cpu_GHz,mec_uav_obstacle_distance_m,mec_uav_remaining_energy_mAh,mec_uav_weather_condition,mec_uav_temperature_c,mec_uav_humidity_pct,mec_uav_wind_speed_mps,mec_uav_visibility_km,mec_uav_precipitation_mmh,bandwidth_MHz_y,uplink_rate_Mbps,downlink_rate_Mbps,aec_storage_GB,aec_ram_GB
T3988,D0,Sensor,19.88,2025-01-01 08:08:20,1.14,86118.5,2.19,2496.6,709,620.14,46.0,0.35,-60.0,0.65,23.745174648266254,90.43527314960868,7603.343224030786,-173.05629419190475,7.58225244249988,0.1329913121420173,107.06,13696286.24,0.6353717,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1335,D1,Sensor,51.35,2025-01-01 09:06:24,1.59,72756.85,2.41,3831.9,1343,1083.14,75.1,3.42,-53.0,0.33,23.74433217982293,90.43497835327705,7683.636700405081,-174.48401260158684,4.6898292031399285,0.3984365376521359,114.85,29888513.98,0.36922508,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1174,D1,Video,479.1,2025-01-01 07:56:42,0.58,191804.86,2.15,1247.0,925,1982.68,69.1,0.06,-82.0,0.2,23.74433217982293,90.43497835327705,7683.636700405081,-177.88164385279157,3.024942843152402,0.2053159057995247,105.08,735149667.41,0.75045866,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1860,D1,Sensor,49.89,2025-01-01 10:03:44,0.19,429057.23,1.99,378.1,1844,2445.97,28.4,1.51,-84.0,0.96,23.74433217982293,90.43497835327705,7683.636700405081,-177.44775937379245,3.880382821439424,0.1471305083894252,108.6,171245321.64,0.5439009,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4176,D1,Sensor,44.88,2025-01-01 17:47:07,0.98,122105.65,2.44,2391.2,762,687.51,27.9,2.37,-91.0,0.12,23.74433217982293,90.43497835327705,7683.636700405081,-176.9119040292021,2.4982481523183684,0.4138993486932044,118.41,43840812.58,0.45765948,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4183,D1,Sensor,36.59,2025-01-01 21:29:20,1.56,67299.07,1.26,1965.6,1605,930.0,25.5,1.44,-76.0,0.58,23.74433217982293,90.43497835327705,7683.636700405081,-174.65342073921798,8.338081357341668,0.4495267452845768,125.39,19699783.77,0.5838377,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1251,D1,Video,468.74,2025-01-01 04:45:53,0.71,119731.47,1.45,1029.5,573,1560.84,93.6,4.73,-67.0,0.22,23.74433217982293,90.43497835327705,7683.636700405081,-176.48246381192652,4.487153005983453,0.0644,100.23,448983433.98,0.65784925,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T3162,D1,AI,66.62,2025-01-01 15:01:33,1.24,67581.02,1.25,1550.0,323,1288.23,33.1,0.84,-71.0,0.94,23.74433217982293,90.43497835327705,7683.636700405081,-174.65810922865805,9.438574144633332,0.4883681735372712,121.12,36017980.42,0.62913024,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1779,D1,AI,183.04,2025-01-01 13:32:38,1.33,68749.08,2.13,2832.9,238,2570.24,93.5,1.68,-80.0,0.98,23.74433217982293,90.43497835327705,7683.636700405081,-176.01590601599713,9.697474499032891,0.2398636306877831,104.06,100670652.83,0.4549183,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4857,D1,Video,418.55,2025-01-01 16:05:41,1.58,67244.6,0.85,1343.0,861,2957.08,95.0,1.63,-72.0,0.76,23.74433217982293,90.43497835327705,7683.636700405081,-176.17360977551476,9.691681189169632,0.1391,105.47,225161818.64,0.40979442,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T2230,D1,Video,239.52,2025-01-01 12:54:46,1.48,76156.36,0.93,1376.4,287,1158.67,53.1,1.61,-98.0,0.37,23.74433217982293,90.43497835327705,7683.636700405081,-175.79709359756,2.401402642150248,0.2539603695242102,118.02,145927770.78,0.3461571,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4889,D2,AI,72.74,2025-01-01 08:16:46,0.28,368167.54,2.25,630.0,335,1492.36,20.7,1.7,-100.0,0.77,23.745858068497157,90.43310675784996,7466.115437016791,-175.67926825990554,4.117474521738061,0.103355632114704,114.74,214244054.88,0.444291,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T166,D2,AI,198.77,2025-01-01 18:54:16,0.29,331240.6,2.1,609.0,1233,2278.57,85.2,3.09,-53.0,0.81,23.745858068497157,90.43310675784996,7466.115437016791,-178.72006719050347,3.7934637343302793,0.166451666361841,109.08,526725552.5,0.5369004,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T2981,D2,Video,454.41,2025-01-01 03:52:24,1.7,66651.31,0.52,884.0,1641,2324.29,74.3,1.89,-85.0,0.23,23.745858068497157,90.43310675784996,7466.115437016791,-177.50675157353282,9.304107830669178,0.3008797799887378,81.06,242296174.22,0.6208645,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4532,D2,AI,120.55,2025-01-01 05:05:13,1.05,80941.49,1.27,1333.5,735,808.19,31.0,0.79,-56.0,0.18,23.745858068497157,90.43310675784996,7466.115437016791,-172.30529425511668,1.7782769591837888,0.211638857438764,126.5,78059972.96,0.56570375,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1089,D2,AI,181.14,2025-01-01 06:27:05,1.07,101809.52,0.71,759.7,1278,2168.24,24.2,0.82,-77.0,0.71,23.745858068497157,90.43310675784996,7466.115437016791,-174.6515108580229,6.297538755121155,0.1525298471501963,100.69,147534211.62,0.24376383,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4545,D2,Video,380.64,2025-01-01 15:25:06,0.14,663459.43,1.77,247.8,605,2147.16,79.7,0.16,-56.0,0.23,23.745858068497157,90.43310675784996,7466.115437016791,-171.9997918247629,5.368352354857755,0.1384171239930857,107.63,2020313579.48,0.39861888,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T2721,D2,AI,160.33,2025-01-01 06:57:31,0.55,172467.05,0.63,346.5,962,2346.45,78.7,2.61,-56.0,0.26,23.745858068497157,90.43310675784996,7466.115437016791,-177.3768984804595,9.786425864962077,0.3364651721998748,122.83,221213137.01,0.43416974,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T810,D2,Video,390.85,2025-01-01 23:20:45,1.59,53291.48,1.32,2098.8,323,1274.73,65.7,2.51,-91.0,0.4,23.745858068497157,90.43310675784996,7466.115437016791,-175.61305617665786,9.66969662676638,0.4593601021223777,132.37,166631799.66,0.59400105,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T834,D2,Sensor,73.02,2025-01-01 23:17:00,1.21,85503.44,1.9,2299.0,762,2833.9,40.7,0.7,-55.0,0.3,23.745858068497157,90.43310675784996,7466.115437016791,-175.9990240740036,4.815987405775138,0.075391292661242,130.5,49947689.51,0.4887823,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1663,D3,Sensor,85.77,2025-01-01 07:16:41,0.45,249123.85,1.42,639.0,1483,339.56,92.3,0.2,-65.0,0.79,23.74836881922326,90.43565115209373,7278.221099501031,-177.3063956489024,4.97236630103559,0.1599013609308285,110.4,170938820.92,0.18198209,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4517,D3,Video,267.57,2025-01-01 17:20:24,0.35,274152.69,2.35,822.5,747,237.53,42.6,0.29,-59.0,0.35,23.74836881922326,90.43565115209373,7278.221099501031,-178.57955769816323,4.460814086180154,0.3494340668867892,124.73,586840282.11,0.4434897,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T2334,D3,AI,4.3525,2025-01-01 02:43:53,0.01,49440.58,1.04,1892.8,50,7124.37,25.2,13.0235851569107,-61.74272269222011,0.66,23.74836881922326,90.43565115209373,7278.221099501031,-177.1958930118044,8.102549275118726,0.4943066114574939,126.98,34430419.91,0.497301,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1447,D3,AI,212.67,2025-01-01 03:58:09,5.0,86886.33,1.19,1320.9,10000,6175.83,97.1,11.08291018118151,-101.7387212405156,0.89,23.74836881922326,90.43565115209373,7278.221099501031,-173.12157946406936,1.901629880230815,0.3566072687753258,127.86,49274975.47,0.6239853,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T3884,D3,Sensor,14.7,2025-01-01 05:12:25,0.9,100451.46,1.96,1764.0,220,918.28,72.3,0.59,-82.0,0.38,23.74836881922326,90.43565115209373,7278.221099501031,-176.1724668691286,2.0453221085267748,0.0736807047616984,113.91,11813091.7,0.6693622,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T3208,D3,Sensor,64.77,2025-01-01 06:44:19,0.76,111268.2,0.8,608.0,1094,902.71,88.0,2.71,-68.0,0.57,23.74836881922326,90.43565115209373,7278.221099501031,-175.84748004816726,7.342235114349756,0.1304885248061555,119.54,57654730.51,0.37289405,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T999,D3,Sensor,30.47,2025-01-01 12:33:52,0.87,116898.66,2.08,1809.6,728,1916.12,38.1,0.47,-96.0,0.95,23.74836881922326,90.43565115209373,7278.221099501031,-175.23548172281716,1.1501808592422131,0.2064499891699689,99.37,28495217.36,0.56136006,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T372,D3,Sensor,70.21,2025-01-01 20:34:31,0.98,98439.41,1.8,1764.0,1517,2457.93,56.7,2.3,-52.0,0.28,23.74836881922326,90.43565115209373,7278.221099501031,-174.89133573304557,7.039267895191999,0.1208312484574154,104.25,55291447.81,0.46499735,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T16,D3,AI,180.82,2025-01-01 01:36:14,1.14,96786.84,2.01,2291.4,575,553.51,72.8,0.99,-60.0,0.6,23.74836881922326,90.43565115209373,7278.221099501031,-175.8194567133448,2.1582642731467807,0.132024380582041,116.85,140007971.27,0.44593567,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1079,D4,Video,367.39,2025-01-01 06:34:08,1.15,72840.07,1.19,1368.5,1777,1593.88,28.4,1.38,-78.0,0.84,23.74611974771832,90.43426072524753,7472.144489242908,-176.39431449754932,8.075670211366928,0.1731443857649837,106.51,214085706.54,0.51433843,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T2472,D4,Video,228.02,2025-01-01 13:39:19,0.94,93430.18,0.87,817.8,707,2419.99,66.2,2.38,-54.0,0.28,23.74611974771832,90.43426072524753,7472.144489242908,-174.82111691415002,7.656746035768512,0.2177491925052824,115.57,170431597.15,0.4315551,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T2773,D4,Video,359.91,2025-01-01 23:32:22,0.4,269589.91,2.09,836.0,1047,2600.1,92.5,1.07,-51.0,0.25,23.74611974771832,90.43426072524753,7472.144489242908,-172.35783984033017,2.6403426900123548,0.2263300092222392,112.96,776224836.06,0.6340222,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4387,D4,Video,242.21,2025-01-01 04:44:31,0.48,182018.74,2.29,1099.2,1842,1076.85,83.9,0.68,-85.0,0.99,23.74611974771832,90.43426072524753,7472.144489242908,-176.84794312665713,7.812394370651546,0.2747197083937339,111.46,352694072.12,0.50130737,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T3903,D4,Sensor,98.57,2025-01-01 00:18:45,1.37,76924.71,0.83,1137.1,1729,1396.97,33.0,1.08,-74.0,0.72,23.74611974771832,90.43426072524753,7472.144489242908,-178.67801717875628,8.11207523583123,0.4677061195606997,105.56,60659749.32,0.64667374,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1348,D4,AI,129.11,2025-01-01 09:09:54,1.47,78646.48,0.66,970.2,900,1143.15,43.7,0.55,-92.0,0.42,23.74611974771832,90.43426072524753,7472.144489242908,-176.87090526111612,9.330059036460176,0.4970071546526411,118.93,81232376.26,0.31490776,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T696,D4,Video,445.78,2025-01-01 23:49:11,1.77,57071.98,0.99,1752.3,1441,481.78,39.2,1.46,-67.0,0.41,23.74611974771832,90.43426072524753,7472.144489242908,-175.81602523134734,7.520001949325217,0.108,109.32,203532377.96,0.53546655,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1917,D4,AI,78.69,2025-01-01 01:46:56,1.27,76708.83,1.65,2095.5,1036,2457.35,87.5,0.98,-66.0,0.72,23.74611974771832,90.43426072524753,7472.144489242908,-179.29924085386463,8.808410530566018,0.2721958148223873,116.05,48289742.66,0.65759623,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4099,D4,AI,76.23,2025-01-01 11:36:54,1.73,51495.48,2.17,3754.1,839,2000.07,75.5,0.59,-76.0,0.29,23.74611974771832,90.43426072524753,7472.144489242908,-175.41775217252678,6.737317643337968,0.3884362942266884,115.55,31404003.52,0.72321564,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T2312,D5,AI,81.9,2025-01-01 13:33:01,0.16,575986.6,1.81,289.6,659,851.74,84.6,1.72,-74.0,0.6,23.745128682798963,90.43371224528924,7561.347992307383,-174.65120801005605,6.629647320198045,0.0952,102.35,377386420.32,0.53453875,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T934,D5,AI,108.46,2025-01-01 04:10:37,0.82,108620.99,1.26,1033.2,1770,1355.73,84.2,0.69,-81.0,0.12,23.745128682798963,90.43371224528924,7561.347992307383,-177.86226092215887,7.078095745094686,0.4735347750910729,144.52,94248260.6,0.6638377,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T631,D5,Video,475.42,2025-01-01 04:14:42,0.63,181482.01,1.08,680.4,1098,2311.09,84.4,1.87,-82.0,0.89,23.745128682798963,90.43371224528924,7561.347992307383,-176.3878659465718,4.657162665905148,0.4719700387842854,125.4,690241417.55,0.5624565,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T3993,D5,Video,265.53,2025-01-01 13:43:36,0.33,250707.99,1.03,339.9,519,1788.08,42.7,2.17,-87.0,0.64,23.745128682798963,90.43371224528924,7561.347992307383,-174.44278886743382,3.057163911598206,0.143776801757273,101.07,532563940.68,0.6678018,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1851,D5,AI,83.95,2025-01-01 13:55:39,1.49,69766.67,0.63,938.7,1999,2656.33,46.4,1.12,-52.0,0.36,23.745128682798963,90.43371224528924,7561.347992307383,-175.86057376790947,4.719832254491316,0.4035854074845383,107.86,46855295.57,0.77078545,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T156,D5,AI,90.17,2025-01-01 21:59:11,1.6,64333.73,1.82,2912.0,1499,816.63,59.1,4.51,-92.0,0.92,23.745128682798963,90.43371224528924,7561.347992307383,-175.48331008041177,6.340511967153187,0.3116596419080432,125.98,46407779.47,0.4983553,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T2885,D5,AI,174.39,2025-01-01 08:56:14,1.77,58119.15,1.53,2708.1,1647,1087.45,54.8,1.02,-75.0,0.25,23.745128682798963,90.43371224528924,7561.347992307383,-176.00543116994226,7.210048062753874,0.1035,105.27,81083188.55,0.64245653,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1669,D5,Video,382.13,2025-01-01 08:00:03,1.3,79744.53,1.91,2483.0,1678,568.74,38.7,2.75,-89.0,0.54,23.745128682798963,90.43371224528924,7561.347992307383,-175.61532362102884,5.11033259890227,0.1837860443840727,100.29,243782217.99,0.5171218,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T493,D5,Video,278.8,2025-01-01 08:58:47,0.62,159541.75,2.47,1531.4,1310,1339.52,91.3,1.61,-82.0,0.35,23.745128682798963,90.43371224528924,7561.347992307383,-172.6387339278283,3.970993893543111,0.1685191451596027,89.6,355841919.2,0.6393358,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4756,D6,Sensor,50.54,2025-01-01 23:09:35,1.0,104900.79,1.44,1440.0,948,1528.01,67.3,0.41,-63.0,0.87,23.74819356718052,90.43680807245144,7335.515750696149,-174.1864672041645,3.222019558187698,0.4458731941308574,121.04,42413487.41,0.4603163,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T2624,D6,Sensor,29.72,2025-01-01 04:38:44,0.17,496006.06,1.18,200.6,1980,1801.74,61.0,0.75,-92.0,0.84,23.74819356718052,90.43680807245144,7335.515750696149,-179.4068432158052,2.6487910601480085,0.453875356855657,142.94,117930400.83,0.5055667,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1195,D6,Sensor,65.54,2025-01-01 19:04:08,0.32,293152.89,1.51,483.2,1774,1581.93,76.2,0.36,-82.0,0.51,23.74819356718052,90.43680807245144,7335.515750696149,-175.0048366836309,5.287329317857365,0.0759,115.69,153705923.28,0.5305746,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T1182,D6,AI,91.21,2025-01-01 21:44:39,0.85,113968.38,1.32,1122.0,1156,2199.29,68.6,1.84,-62.0,0.96,23.74819356718052,90.43680807245144,7335.515750696149,-171.80708615837472,7.357517681823921,0.3836352677101736,114.12,83160447.52,0.49038482,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
T4884,D6,Sensor,10.14,2025-01-01 18:24:22,1.31,62630.09,1.02,1336.2,1912,1890.63,74.9,1.08,-99.0,0.7,23.74819356718052,90.43680807245144,7335.515750696149,-175.23844485462504,8.46863357932516,0.1216,111.05,5080552.9,0.57928306,U1,23.746,90.4345,Jatrabari,3.4,116.2,109565,Thunderstorm,27.6,95.5,15.05,2.3,19.7,5.31,14.61,26.89,498,27
