task_id,iot_id,task_size_MB,cpu_frequency_GHz,cpu_cycles_per_bit,delay_deadline_ms,Location_Lat,Location_Lon,distance_m,uplink_data_rate_Mbps,uplink_power_transfer_mW,offload_ratio,energy_deadline_mJ,task_gen_time_ms,Priority_Score,closest_mec_uav_id,mec_uav_lat,mec_uav_lon,closest_mec_uav_area,mec_uav_cpu_GHz,mec_uav_obstacle_distance_m,mec_uav_remaining_energy_mAh,mec_uav_weather_condition,mec_uav_wind_speed_mps,mec_uav_visibility_km,mec_uav_precipitation_mmh,mec_uav_humidity_pct,mec_uav_temperature_c
T1335,D1,46.49,1.59,72756.85,1343,23.74433217982293,90.43497835327705,7683.636700405081,0.3984365376521359,114.85,0.7,27059727.65,1735722384000.0,0.4463686,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1174,D1,1881.54,0.58,191804.86,925,23.74433217982293,90.43497835327705,7683.636700405081,0.2053159057995247,105.08,0.7,2887108130.28,1735718202000.0,0.5636958,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1860,D1,44.88,0.19,429057.23,1844,23.74433217982293,90.43497835327705,7683.636700405081,0.1471305083894252,108.6,0.45,154048707.86,1735725824000.0,0.5414768,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4176,D1,39.37,0.98,122105.65,762,23.74433217982293,90.43497835327705,7683.636700405081,0.4138993486932044,118.41,0.71,38458395.52,1735753627000.0,0.21229497,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4183,D1,30.25,1.56,67299.07,1605,23.74433217982293,90.43497835327705,7683.636700405081,0.4495267452845768,125.39,0.74,16286374.94,1735766960000.0,0.40657568,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1251,D1,1822.88,0.71,119731.47,573,23.74433217982293,90.43497835327705,7683.636700405081,0.0644,100.23,0.55,1746048816.27,1735706753000.0,0.45167175,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T3162,D1,199.73,1.24,67581.02,323,23.74433217982293,90.43497835327705,7683.636700405081,0.4883681735372712,121.12,0.8,107983657.0,1735743693000.0,0.49792907,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1779,D1,898.23,1.33,68749.08,238,23.74433217982293,90.43497835327705,7683.636700405081,0.2398636306877831,104.06,0.63,494019889.03,1735738358000.0,0.42898825,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4857,D1,1538.43,1.58,67244.6,861,23.74433217982293,90.43497835327705,7683.636700405081,0.1391,105.47,0.6,827608879.82,1735747541000.0,0.54712826,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2230,D1,523.94,1.48,76156.36,287,23.74433217982293,90.43497835327705,7683.636700405081,0.2539603695242102,118.02,0.6,319210906.07,1735736086000.0,0.5900566,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4889,D2,236.41,0.28,368167.54,335,23.74585806849716,90.43310675784996,7466.115437016791,0.103355632114704,114.74,0.43,696307905.05,1735719406000.0,0.35695067,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T166,D2,992.63,0.29,331240.6,1233,23.74585806849716,90.43310675784996,7466.115437016791,0.166451666361841,109.08,0.57,2630394854.22,1735757656000.0,0.35215077,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2981,D2,1741.68,1.7,66651.31,1641,23.74585806849716,90.43310675784996,7466.115437016791,0.3008797799887378,81.06,0.78,928682028.81,1735703544000.0,0.40514347,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4532,D2,523.29,1.05,80941.49,735,23.74585806849716,90.43310675784996,7466.115437016791,0.211638857438764,126.5,0.56,338846978.42,1735707913000.0,0.45318142,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1089,D2,886.84,1.07,101809.52,1278,23.74585806849716,90.43310675784996,7466.115437016791,0.1525298471501963,100.69,0.54,722310037.73,1735712825000.0,0.528935,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4545,D2,1323.65,0.14,663459.43,605,23.74585806849716,90.43310675784996,7466.115437016791,0.1384171239930857,107.63,0.57,7025504596.16,1735745106000.0,0.28398412,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2721,D2,761.96,0.55,172467.05,962,23.74585806849716,90.43310675784996,7466.115437016791,0.3364651721998748,122.83,0.71,1051303947.34,1735714651000.0,0.561799,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T810,D2,1381.5,1.59,53291.48,323,23.74585806849716,90.43310675784996,7466.115437016791,0.4593601021223777,132.37,0.9,588977436.96,1735773645000.0,0.6416171,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T834,D2,70.32,1.21,85503.44,762,23.74585806849716,90.43310675784996,7466.115437016791,0.075391292661242,130.5,0.38,48100815.21,1735773420000.0,0.42391735,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1663,D3,84.35,0.45,249123.85,1483,23.74836881922326,90.43565115209373,7278.221099501031,0.1599013609308285,110.4,0.47,168108773.98,1735715801000.0,0.35416365,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4517,D3,682.88,0.35,274152.69,747,23.74836881922326,90.43565115209373,7278.221099501031,0.3494340668867892,124.73,0.71,1497707111.58,1735752024000.0,0.38172448,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2334,D3,16.114,0.01,49440.58,50,23.74836881922326,90.43565115209373,7278.221099501031,0.4943066114574939,126.98,0.82,127469680.98,1735699433000.0,0.45399427,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1447,D3,675.96,5.0,86886.33,10000,23.74836881922326,90.43565115209373,7278.221099501031,0.3566072687753258,127.86,0.67,156617823.0,1735703889000.0,0.5371414,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T3884,D3,6.17,0.9,100451.46,220,23.74836881922326,90.43565115209373,7278.221099501031,0.0736807047616984,113.91,0.37,4958284.07,1735708345000.0,0.36449894,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T3208,D3,61.24,0.76,111268.2,1094,23.74836881922326,90.43565115209373,7278.221099501031,0.1304885248061555,119.54,0.43,54512516.54,1735713859000.0,0.56454736,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T999,D3,23.51,0.87,116898.66,728,23.74836881922326,90.43565115209373,7278.221099501031,0.2064499891699689,99.37,0.5,21986299.97,1735734832000.0,0.6659651,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T372,D3,67.23,0.98,98439.41,1517,23.74836881922326,90.43565115209373,7278.221099501031,0.1208312484574154,104.25,0.43,52944652.27,1735763671000.0,0.3194029,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T16,D3,884.92,1.14,96786.84,575,23.74836881922326,90.43565115209373,7278.221099501031,0.132024380582041,116.85,0.52,685188883.62,1735695374000.0,0.62783664,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1079,D4,1248.57,1.15,72840.07,1777,23.74611974771832,90.43426072524753,7472.144489242908,0.1731443857649837,106.51,0.6,727567409.6,1735713248000.0,0.51817393,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2472,D4,458.79,0.94,93430.18,707,23.74611974771832,90.43426072524753,7472.144489242908,0.2177491925052824,115.57,0.56,342918658.26,1735738759000.0,0.34758312,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2773,D4,1206.15,0.4,269589.91,1047,23.74611974771832,90.43426072524753,7472.144489242908,0.2263300092222392,112.96,0.65,2601326959.57,1735774342000.0,0.29594523,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4387,D4,539.21,0.48,182018.74,1842,23.74611974771832,90.43426072524753,7472.144489242908,0.2747197083937339,111.46,0.63,785170598.36,1735706671000.0,0.61661106,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T3903,D4,98.43,1.37,76924.71,1729,23.74611974771832,90.43426072524753,7472.144489242908,0.4677061195606997,105.56,0.77,60573593.64,1735690725000.0,0.5346253,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1348,D4,574.66,1.47,78646.48,900,23.74611974771832,90.43426072524753,7472.144489242908,0.4970071546526411,118.93,0.85,361559889.57,1735722594000.0,0.23513332,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T696,D4,1692.73,1.77,57071.98,1441,23.74611974771832,90.43426072524753,7472.144489242908,0.108,109.32,0.58,772859621.64,1735775351000.0,0.54085743,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1917,D4,272.13,1.27,76708.83,1036,23.74611974771832,90.43426072524753,7472.144489242908,0.2721958148223873,116.05,0.6,166998191.26,1735696016000.0,0.4386655,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4099,D4,257.39,1.73,51495.48,839,23.74611974771832,90.43426072524753,7472.144489242908,0.3884362942266884,115.55,0.71,106035372.78,1735731414000.0,0.50586444,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2312,D5,291.38,0.16,575986.6,659,23.745128682798963,90.43371224528924,7561.347992307383,0.0952,102.35,0.42,1342647804.06,1735738381000.0,0.62063676,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T934,D5,450.78,0.82,108620.99,1770,23.745128682798963,90.43371224528924,7561.347992307383,0.4735347750910729,144.52,0.81,391713358.98,1735704637000.0,0.4066531,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T631,D5,1860.73,0.63,181482.01,1098,23.745128682798963,90.43371224528924,7561.347992307383,0.4719700387842854,125.4,0.96,2701512163.74,1735704882000.0,0.48685828,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T3993,D5,671.35,0.33,250707.99,519,23.745128682798963,90.43371224528924,7561.347992307383,0.143776801757273,101.07,0.51,1346502472.69,1735739016000.0,0.48635507,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1851,D5,303.72,1.49,69766.67,1999,23.745128682798963,90.43371224528924,7561.347992307383,0.4035854074845383,107.86,0.73,169516264.1,1735739739000.0,0.4382397,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T156,D5,341.0,1.6,64333.73,1499,23.745128682798963,90.43371224528924,7561.347992307383,0.3116596419080432,125.98,0.64,175502415.44,1735768751000.0,0.6120821,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2885,D5,846.36,1.77,58119.15,1647,23.745128682798963,90.43371224528924,7561.347992307383,0.1035,105.27,0.49,393517790.35,1735721774000.0,0.671965,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1669,D5,1332.05,1.3,79744.53,1678,23.745128682798963,90.43371224528924,7561.347992307383,0.1837860443840727,100.29,0.62,849789609.49,1735718403000.0,0.28932598,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T493,D5,746.55,0.62,159541.75,1310,23.745128682798963,90.43371224528924,7561.347992307383,0.1685191451596027,89.6,0.54,952847147.7,1735721927000.0,0.31127402,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4756,D6,45.6,1.0,104900.79,948,23.74819356718052,90.43680807245144,7335.515750696149,0.4458731941308574,121.04,0.74,38267808.19,1735772975000.0,0.40982726,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2624,D6,22.69,0.17,496006.06,1980,23.74819356718052,90.43680807245144,7335.515750696149,0.453875356855657,142.94,0.75,90035020.01,1735706324000.0,0.36569893,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1195,D6,62.09,0.32,293152.89,1774,23.74819356718052,90.43680807245144,7335.515750696149,0.0759,115.69,0.38,145614903.52,1735758248000.0,0.36829245,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1182,D6,347.26,0.85,113968.38,1156,23.74819356718052,90.43680807245144,7335.515750696149,0.3836352677101736,114.12,0.71,316613277.11,1735767879000.0,0.36507958,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4884,D6,1.15,1.31,62630.09,1912,23.74819356718052,90.43680807245144,7335.515750696149,0.1216,111.05,0.42,576196.83,1735755862000.0,0.46955532,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4708,D6,46.17,0.8,106051.25,1336,23.74819356718052,90.43680807245144,7335.515750696149,0.4059157260860737,105.92,0.7,39171089.7,1735768531000.0,0.35695067,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T3565,D6,1809.67,1.24,80714.63,1600,23.74819356718052,90.43680807245144,7335.515750696149,0.4305247212403096,119.47,0.91,1168534755.78,1735753800000.0,0.5125998,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4591,D6,1200.99,1.68,71220.55,467,23.74819356718052,90.43680807245144,7335.515750696149,0.0766624077750665,104.07,0.5,684281346.76,1735718269000.0,0.5055548,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1760,D6,408.85,1.49,71202.46,1330,23.74819356718052,90.43680807245144,7335.515750696149,0.1968171752659697,96.15,0.54,232889006.17,1735768885000.0,0.44578797,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T3839,D7,1303.49,0.53,179942.61,1046,23.743412623251228,90.43365656870614,7742.843580080814,0.2208624628026421,101.97,0.65,1876427141.67,1735741995000.0,0.57256013,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4487,D7,583.66,0.92,93156.27,1371,23.743412623251228,90.43365656870614,7742.843580080814,0.4798168807597517,117.0,0.83,434972708.39,1735774126000.0,0.41454977,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T19,D7,447.29,1.6,64899.72,524,23.743412623251228,90.43365656870614,7742.843580080814,0.2169135067427722,114.93,0.56,232231966.07,1735698367000.0,0.33957034,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2150,D7,97.23,0.53,224713.37,1995,23.743412623251228,90.43365656870614,7742.843580080814,0.165198598538324,110.84,0.47,174791047.72,1735759788000.0,0.30465478,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2622,D7,972.24,0.7,122689.25,684,23.743412623251228,90.43365656870614,7742.843580080814,0.3288639013699526,107.27,0.72,954267171.36,1735742761000.0,0.4539556,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2582,D7,98.42,0.65,182223.72,1959,23.743412623251228,90.43365656870614,7742.843580080814,0.1215020249469684,112.2,0.43,143475668.18,1735749100000.0,0.43688488,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4683,D7,54.63,1.55,73126.45,1639,23.743412623251228,90.43365656870614,7742.843580080814,0.3312884234885005,116.71,0.63,31959183.71,1735699169000.0,0.5926502,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1741,D7,590.34,0.41,251998.48,1334,23.743412623251228,90.43365656870614,7742.843580080814,0.2563585481190444,130.15,0.61,1190118261.47,1735727372000.0,0.41184014,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1454,D7,1359.79,1.18,88835.95,1507,23.743412623251228,90.43365656870614,7742.843580080814,0.3791475069997197,106.37,0.81,966385891.6,1735708551000.0,0.47152948,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4242,D7,522.11,1.6,53120.52,757,23.743412623251228,90.43365656870614,7742.843580080814,0.3104691489779513,131.71,0.66,221878037.58,1735735699000.0,0.35327333,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4447,D8,1300.84,0.81,112878.2,606,23.745202273884672,90.43432378674734,7571.522795805967,0.1294621130263622,101.66,0.56,1174691821.5,1735768663000.0,0.3865244,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4766,D8,641.91,1.22,92019.32,315,23.745202273884672,90.43432378674734,7571.522795805967,0.471819569569959,139.43,0.83,472544973.61,1735738056000.0,0.41962066,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T3769,D8,380.71,0.59,137680.68,486,23.745202273884672,90.43432378674734,7571.522795805967,0.2519514281046035,119.04,0.59,419331293.46,1735740476000.0,0.3462283,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1200,D8,866.79,1.49,67881.29,218,23.745202273884672,90.43432378674734,7571.522795805967,0.385052859138402,105.74,0.77,470710586.87,1735717410000.0,0.41195625,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1618,D8,139.75,0.75,140421.67,1967,23.745202273884672,90.43432378674734,7571.522795805967,0.2893737229506977,115.9,0.6,156991427.06,1735775756000.0,0.43978804,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T239,D8,538.87,0.25,385206.88,1298,23.745202273884672,90.43432378674734,7571.522795805967,0.4393721640402568,136.47,0.79,1660611451.4,1735690981000.0,0.33949292,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2437,D8,310.35,0.29,395716.45,574,23.745202273884672,90.43432378674734,7571.522795805967,0.2016614100527758,102.75,0.53,982484802.06,1735760912000.0,0.44125903,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4847,D8,290.0,1.74,55202.44,1790,23.745202273884672,90.43432378674734,7571.522795805967,0.3374886697071722,128.75,0.66,128069660.8,1735759863000.0,0.410795,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T3122,D8,22.71,0.16,553657.02,536,23.745202273884672,90.43432378674734,7571.522795805967,0.0871,116.18,0.39,100588407.39,1735720350000.0,0.3201384,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1604,D8,1087.39,0.55,167505.02,1428,23.745202273884672,90.43432378674734,7571.522795805967,0.1043,120.8,0.52,1457146269.58,1735773827000.0,0.6327527,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2906,D8,89.96950000000001,0.01,65190.94,50,23.745202273884672,90.43432378674734,7571.522795805967,0.4295919901375888,126.91,0.91,938431404.21,1735738288000.0,0.46065223,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2107,D9,624.94,0.99,94560.43,1380,23.74494498429744,90.43129056901589,7514.478572294895,0.4182697070491135,113.47,0.78,472756760.99,1735744703000.0,0.48465186,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T4771,D9,879.89,1.19,97721.0,397,23.74494498429744,90.43129056901589,7514.478572294895,0.2116820258301651,117.87,0.6,687869845.52,1735691824000.0,0.56547636,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T825,D9,859.82,1.38,62003.36,1324,23.74494498429744,90.43129056901589,7514.478572294895,0.3542061831043365,129.81,0.74,426493831.96,1735704972000.0,0.41791743,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T1244,D9,30.51,0.3,370909.85,1324,23.74494498429744,90.43129056901589,7514.478572294895,0.4230431889441481,129.48,0.72,90531676.19,1735735568000.0,0.29478395,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T858,D9,1610.33,0.11,1039620.61,596,23.74494498429744,90.43129056901589,7514.478572294895,0.1414,85.34,0.61,13393058055.21,1735716964000.0,0.4616587,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T2830,D9,757.45,1.33,84097.46,361,23.74494498429744,90.43129056901589,7514.478572294895,0.4931315333461638,126.95,0.86,509596968.62,1735773292000.0,0.3628732,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
T794,D9,68.54,0.99,104209.1,426,23.74494498429744,90.43129056901589,7514.478572294895,0.4486332236291859,129.64,0.75,57139933.71,1735722602000.0,0.6527653,U0,23.745981,90.434497,Motijheel CBD,2.36,176.3,22163,thunderstorm,12.2,1.3,75.8,91,28.8
